Gene	state
Iqcb1	1
Glul	-1
Bend3	-1
Dock1	1
Rnf187	-1
Spice1	1
Marcksl1	-1
Rreb1	1
Hmgcl	1
Tbc1d13	1
Mrpl20	-1
Mknk1	1
Ap2a2	-1
Dis3	-1
Scfd2	1
Cmtm4	-1
Rad9b	-1
Smarca5	1
Arf4	-1
Psmd7	-1
Rab4a	1
Chaf1b	1
Rnf13	1
Spire1	-1
Ppp1ca	1
Aars	1
St13	-1
Eif1a	1
Vhl	1
Ahcy	1
Ide	-1
Snrnp70	-1
Rfc4	-1
Igfbp2	-1
Cep68	-1
Fam86	1
Fancc	1
Mettl17	1
Lamp1	1
Zcchc3	-1
Mbnl2	-1
Gm12115	-1
Ccdc55	1
Ndrg2	-1
B4galt5	1
Cib1	1
Trim13	1
Rbm39	1
Uba1	1
Idh3g	1
Uchl1	-1
Cyfip1	1
Magi3	1
Abracl	-1
Rras2	-1
Dbnl	1
Nxn	1
Mtdh	-1
Mars	1
Brd4	1
Hint2	1
Paics	1
Btbd19	1
Use1	1
Twf2	-1
Ccnc	1
Taf5l	1
Dclk2	1
Rdh11	-1
Elmo2	1
Mdk	-1
Cfl1	-1
Rtcb	1
Cyr61	-1
Cct6a	-1
Flot2	-1
Kank2	1
Ric8	1
4930522L14Rik	1
Ssx2ip	-1
Gtpbp4	-1
Dido1	1
Ift74	1
Cnnm4	-1
Scfd1	1
Fam76a	1
Gas2	-1
Fkbp15	1
Tle4	-1
Stat3	1
Pvt1	-1
Rps23	1
Cyp4f13	1
Ptbp1	1
Rps18	1
Ppp6r3	1
Serbp1	-1
Tjp2	-1
Ewsr1	1
Ctns	1
Spc25	-1
Dna2	1
Kdm5b	1
Dtl	1
Emc8	-1
Smchd1	-1
Gm5662	1
Csrnp3	-1
Fam3c	-1
Ndufb5	1
Sohlh2	1
D3Ertd254e	1
Tsen34	1
Rdx	-1
Hsbp1	1
Apeh	1
Mex3a	-1
Tgoln1	1
Mid1	1
Cct3	1
Rsrc1	1
Polr2g	1
Inpp5k	1
Cpe	1
Cdc123	-1
Usp10	1
Kmt2c	1
Cd3eap	1
Eif5al3-ps	-1
Adam10	1
Gm12020	-1
Dcun1d5	-1
Gltscr1l	1
Gm15484	-1
Zswim7	-1
Pmpca	1
Sucla2	1
Gnl2	-1
Mlh3	1
Camk1d	1
Arhgap5	-1
Gm12715	-1
Cbfb	1
Lamc1	1
Vipas39	1
Rap2b	-1
4930402H24Rik	1
Nme1	-1
Chordc1	1
Ttf1	1
Eif3a	1
Hjurp	1
Prkar1a	1
Paip2b	1
Atp6v0c	1
Tapbp	-1
Pfkfb2	1
Slc7a3	-1
Ube2g1	-1
Ctdsp2	1
Ino80c	1
Hspa14	-1
Cmtr2	1
Mllt11	-1
Fnip1	1
Cmip	-1
Pdia3	1
Gpc4	-1
Efr3a	1
Mtfr1	1
Meaf6	1
Gpbp1	1
Dyrk1a	1
Rnmt	-1
Tbk1	1
Msra	1
Zfp740	-1
Sorl1	1
Smim14	1
Ccbl1	1
Zfp26	1
Brk1	1
Hnrnpm	1
Nucb1	1
Eif4b	-1
Klhl21	-1
Lonp2	1
Anxa5	-1
Sparc	1
Tacc3	1
Znrd1as	-1
Prkra	-1
Mast3	1
Ncoa2	1
Exoc1	1
Acaa1a	1
Xab2	1
Gmfb	-1
Arid2	-1
Echs1	1
Fuca2	1
Gtf2h5	-1
Nipsnap3b	1
Zcrb1	-1
Stag2	-1
Zfp790	1
Fam49a	-1
Eya3	1
Atp6v1g1	1
Elavl1	-1
Tuba4a	1
Smim20	1
Gm1821	1
Usp7	1
Ssr4	1
Mum1	1
Aplf	1
Mtus1	1
Bub3	-1
Bclaf1	1
Med13l	-1
Copa	1
Cltb	1
Cd97	1
Fam49b	1
Cklf	1
Pcbp2	-1
Arpc1b	1
Lpar6	-1
4930422G04Rik	1
Pqlc3	1
Macf1	1
Xist	1
Mina	-1
Ubxn7	-1
Jhdm1d	-1
Lrch1	1
Txn2	-1
Nbr1	1
Pml	-1
Tubb2b	1
Ubqln4	-1
Orc5	1
Zfp454	1
Aktip	-1
Etfa	1
Cdc7	1
Cdr2	-1
Kansl1	1
Tpd52	1
P2rx4	1
Gm15427	1
Gemin6	-1
Aff4	-1
Stam	1
Itm2b	1
Kif5b	1
Bms1	-1
Atg2a	1
Ap1g1	1
Itgav	1
AU018091	1
Ndufs8	1
Cdk2ap1	-1
Pdap1	-1
Supt6	-1
Akap8	1
Zfp654	1
Limd1	-1
Vps36	-1
Hbegf	-1
Slc25a40	-1
Naa30	-1
Fdft1	1
Arl5a	-1
Dgke	1
S1pr2	-1
Usp9x	1
Cenpl	1
Nudt4	-1
Gm3531	-1
Rbm4b	1
Zyg11b	1
Pcnt	1
Tango2	1
Rasa2	-1
Wdr26	-1
Zfp599	1
Lpcat1	1
Rbmxl1	1
Ggcx	1
Mrpl17	1
Mcm6	1
Lrrc8a	-1
Mafg	1
Cluh	1
Comt	1
Akap7	-1
Ppip5k1	1
Gm26563	1
Ran	-1
Larp7	1
Gm14393	1
Tdp1	-1
Med17	1
Rnaseh2a	1
Cep192	1
Aifm1	1
Csnk1g1	1
Parva	-1
Zfp532	-1
Rpl15	1
Xpo7	-1
Gnptg	1
Myo19	1
Zrsr2	1
Aco2	1
Ssh1	1
Tbc1d10b	1
Cldn12	-1
Pgap1	1
Tom1l1	-1
Top1	1
Gtf2f1	1
Spint1	1
Gxylt1	-1
Klhl42	1
Ggct	-1
Alad	1
Zfp763	1
Fahd2a	1
Lxn	1
Mul1	1
Foxh1	-1
Aldh16a1	1
Mcm5	1
Arhgef40	-1
Lck	-1
Usp4	1
Zfp553	1
Pbrm1	-1
Gpr108	1
Vps13d	1
Pomp	-1
Dscr3	1
Haus2	1
Pole2	1
Nfyc	1
Gm5844	-1
B830012L14Rik	-1
Rpain	1
Itpr1	-1
Pde7a	-1
Pten	-1
Klf3	1
Mtap	1
Armc9	1
Gpc1	-1
Gm8203	1
Ssbp1	-1
Atp11c	1
Stxbp2	1
Trove2	-1
Akap9	-1
Cisd2	-1
Rab3gap2	-1
Wdr6	1
Stat6	1
Zfp13	1
Prune2	-1
Pdzd8	-1
Man1a2	1
Dusp14	1
Ndufa6	1
Ctps2	-1
Gfm2	-1
Cbx3	-1
Chek1	1
Rmnd5b	1
D19Bwg1357e	-1
Zfp518a	-1
Sep-11	-1
Chn1	1
Atg16l1	1
Uqcc1	1
Psmd2	1
Fam195b	-1
Hiat1	1
Creb1	-1
Pdrg1	1
Ggta1	1
Stxbp3a	1
Tmem208	1
Lgalsl	1
1200014J11Rik	1
Cox6c	1
Zfp574	1
Riok2	1
Golm1	1
F2rl1	-1
Gm13341	-1
Hspg2	-1
Gm21811	1
Zfp7	1
Arfgap3	1
Cdk5	1
Erp44	1
Atp8b2	1
Ybx3	-1
Gm15800	1
Fam111a	-1
Gm13248	1
Psap	1
Ccdc181	-1
Fstl1	-1
Smc1a	1
Manf	-1
Mrpl15	-1
Atp6v1b2	1
Kat7	1
Pigh	1
Gtpbp10	-1
Ftsj3	1
Galnt1	1
Cenpa	-1
Ube2f	-1
Hnrnpdl	1
Dgcr8	1
Cul2	1
Phgdh	-1
Commd3	1
Syce1	1
Rbl1	1
Naf1	-1
Ccdc104	1
Gramd1b	1
Psme3	-1
Ap2m1	1
Asxl2	1
Abce1	1
Fam118b	1
Angptl4	1
2010111I01Rik	1
Zbtb41	-1
Sh3glb1	-1
Pgpep1	1
Ccnd3	1
Car2	-1
Ints10	1
Abcb10	-1
Ruvbl1	-1
Gemin5	-1
Mtrr	1
Eif4h	-1
Ndufb9	1
Ccdc88a	1
Apip	1
Nup85	-1
Ubox5	-1
Zfp2	1
Rbm47	-1
Stx5a	1
Nop56	1
Gm4617	-1
Casc5	-1
Myo1c	-1
Tspan15	1
Cr1l	1
Srp19	-1
Slc12a6	1
Pip5k1a	1
Cln5	1
Mtpn	-1
Zfp74	1
Pik3r1	1
Rnf138	1
Zmat3	-1
Phlpp1	1
Sdha	1
Lrmp	1
Sh3bgrl2	1
Atp6v0b	1
Ndufs2	1
Trim24	1
Mad2l1	-1
Ccna2	-1
Zmat5	1
M6pr	1
Dynlt1b	1
Zscan4c	1
Thoc6	1
Zfp410	1
Mpc1-ps	1
Tbccd1	1
Arhgef26	1
Mfap1b	1
Bccip	-1
Txndc15	1
Acsl1	1
Polr3k	-1
Map1b	-1
Mzt1	1
2610005L07Rik	1
Kpna3	-1
Phldb2	-1
Nme7	1
Gm5514	1
Gabarap	1
Zkscan1	1
Nfe2l1	1
Ssna1	1
Tmem181a	1
Fam136a	-1
Lss	-1
Polb	-1
Otud7b	-1
Itga5	-1
2810008D09Rik	1
Tmem223	1
Trim2	-1
Casp8ap2	1
Agap1	-1
Fiz1	1
Csnk2a2	-1
Tmed5	1
Poldip2	1
Atraid	1
Syce2	-1
Tmc6	1
Ank2	-1
Gm2016	1
Gm10131	-1
Dap3	-1
Rnpepl1	1
Polr3c	1
Gins3	1
C330006A16Rik	-1
Ammecr1	-1
Trappc12	1
Adap1	1
Chchd2	1
Zscan21	1
Fxyd6	1
Dppa3	1
Cenpn	1
Gid4	-1
Hspe1	-1
Slc30a9	-1
Gm9800	-1
Ankrd26	1
Zfp655	1
Trp53bp2	-1
Ccnt2	1
Pecr	-1
2610507B11Rik	-1
Prpf4	1
Uty	1
Unc5b	-1
Hes1	1
Gm26631	1
Snhg5	1
Lmtk2	-1
Il12rb2	1
Atf6	-1
Tex14	1
Snx27	-1
Dbf4	-1
Denr	-1
Gm12583	-1
Dsp	-1
Dicer1	-1
Gli3	-1
Eif3b	-1
Eif3h	-1
Strn	-1
Rab11fip4	1
Tk2	1
Ipo13	-1
Ddhd2	1
Hspd1	-1
Trip11	1
Aldh3a2	1
Eif4g2	-1
Clcn2	1
Myo18a	-1
Polr1b	1
Acp6	1
Alg2	1
Brix1	-1
Cwf19l2	1
Gm14165	-1
Pop5	1
Mfsd10	1
Atp6v1d	1
Suv420h2	1
Msh6	1
2610524H06Rik	1
Ccdc132	1
2700029M09Rik	-1
Dctpp1	-1
Lnpep	1
Plekhg3	1
Ube3a	-1
Fkbp11	-1
Phc2	-1
4922501C03Rik	1
Hsdl1	1
Zic5	-1
Ptplad1	1
Mbd3	-1
Abr	1
Alkbh5	-1
Fbxo30	1
Zfp27	1
Mettl1	1
Cand2	-1
Pusl1	1
Ipo11	1
Srsf1	-1
Cux1	1
Cbwd1	-1
Brox	1
Prps1	1
Snap23	1
Eml4	1
Zfp715	1
Tgm1	-1
Tceb2	1
Timm22	1
Apoc1	1
Cpped1	1
Timeless	1
Aamp	1
Wdyhv1	1
Hsf2	-1
Ptgfrn	1
Romo1	-1
Zcwpw1	-1
Ppp2r5a	-1
Zscan4f	1
Gcdh	1
Ska2	1
Prpf40b	-1
Hdac6	1
Surf2	-1
Nampt	-1
Cep76	-1
Prkci	1
Vprbp	1
Zfp719	1
Arvcf	1
Nt5c3b	1
Anp32e	-1
Lbr	-1
Tubgcp5	1
Pex11b	1
Mettl4	-1
Foxo3	1
Irgm1	-1
Usp15	-1
Rnf141	-1
Set	-1
Cuedc2	1
Gtf2h4	-1
Cnih4	-1
Larp4b	-1
Afap1	1
Ryk	-1
Med18	1
Rac1	-1
Dck	1
Gm13443	-1
Ercc4	1
Map2k3	1
Sec24c	-1
Ep400	1
4833439L19Rik	-1
Emc1	1
Rabgap1	1
Fah	-1
2310035C23Rik	1
Dhodh	-1
Epc1	1
Tmem128	1
Gm5529	-1
Dzip1	1
Tmem192	1
Tceal8	-1
2310045N01Rik	1
Exoc3	1
Alkbh6	1
Pus10	1
Gm7658	-1
Gm2830	1
Gm5039	1
Rtfdc1	1
Gm6563	-1
Zfc3h1	1
Map4k3	1
Mcm2	1
Rab2b	1
Ttll4	-1
Scarb2	-1
Tsc1	1
Xrcc5	1
Pus7	-1
Naa20	-1
Usp40	1
Pars2	1
Gtf2a1	1
E2f4	-1
Pura	-1
Sumf2	1
Fbxo9	-1
Agpat2	1
Gps1	1
Usp39	-1
Asrgl1	-1
Mlf2	1
Gm6803	1
Znf41-ps	1
Tia1	-1
Flcn	1
9830147E19Rik	1
Rpl36	1
Phf14	1
Rpl23	1
Serpinb9b	1
Pfkfb1	-1
Taf9	-1
Dolpp1	1
Ephx1	1
Spryd4	1
Tmed4	1
Mcm10	1
Lman1	1
Fastkd1	1
Apmap	1
Srf	-1
Inpp5f	-1
Snrpd1	-1
Hint1	1
Trip12	1
Pip5k1c	1
Sp2	1
Ddx39b	1
Fam107b	1
Zbtb43	1
Mybbp1a	1
Uqcr11	1
2610021A01Rik	1
Smek1	1
Sf3b4	1
Cse1l	1
Gm14303	1
Tfam	-1
Fam134b	1
Gm11974	1
Sdad1	-1
Mrpl49	1
Ywhae	-1
Gm14681	-1
Fam175a	1
Ccdc58	-1
Ino80d	1
Dctn4	1
Cln8	1
Usp28	-1
Rev3l	1
Rnmtl1	1
Dnajc5	-1
Oard1	1
Ddx41	-1
Aga	1
Fahd1	-1
2610020H08Rik	1
Lamtor5	1
Slu7	1
Pik3r4	1
Rpl30	1
Supt20	1
Taf13	-1
Dip2b	-1
Abcf3	1
Mtif2	1
Rps28	1
Cs	1
Dctd	1
Kif1b	-1
Ddhd1	1
Atp10d	1
Chchd6	-1
Znfx1	1
Tyro3	1
Klhdc2	-1
Snx4	1
Tcf20	-1
Sass6	1
0610037L13Rik	1
Ireb2	1
Map3k4	-1
Tbl3	1
Zscan4d	1
Pcolce2	1
Cdc26	-1
Nosip	1
Tox4	1
6820431F20Rik	1
F2r	-1
Oaz1-ps	-1
Ppp2ca	-1
Ccdc6	1
Rrm2b	1
Brd2	1
Impact	-1
Mterfd1	1
Eif2ak4	1
Snw1	1
Ccndbp1	1
Fam45a	1
Sephs1	-1
Bmpr1a	-1
Lcor	1
Nup62cl	-1
Notch2	-1
Ubr5	1
Zzz3	1
Npl	-1
Rab8a	1
Nudcd3	-1
Prpf8	-1
Capn5	1
Stk4	-1
Selrc1	1
Zfp954	1
Atp5a1	1
Tada1	1
Vbp1	-1
B230354K17Rik	1
Gm16185	1
Gcc2	1
Elp2	1
Esco2	1
Snhg4	-1
0610009D07Rik	-1
Arhgap44	1
Pcnp	-1
Brpf3	1
Med23	1
Lrpap1	1
Upp1	1
Zfpl1	1
Actn1	1
1110057K04Rik	1
Tm2d2	1
Sdc4	1
Gm13835	-1
Zkscan3	1
Dpy19l1	-1
Gpatch8	1
Sirt4	1
Hscb	1
Pls3	1
Sf3b5	1
BC080695	1
Athl1	1
Lrrcc1	1
Diap1	-1
Myo9a	1
Gtf3c2	1
Uqcrc1	1
Atp5h	1
Ncapg2	1
Odf2l	-1
Gpx3	-1
Xpot	1
Nmt2	1
Mrpl13	-1
Igf2bp2	1
Necap1	1
Atp9a	1
Edc4	1
Ddx1	-1
Zfp948	-1
Scnm1	1
Vps18	1
Rad54l	1
Haus3	-1
Ldlrad3	-1
Stard3	1
Cdca5	1
Larp1b	-1
Fos	1
Rps19-ps6	1
Ccnt1	1
Traf6	1
Tgs1	1
Fam98b	-1
Dlc1	-1
Usp53	-1
Pvrl2	-1
Slc38a7	1
Eea1	1
Mapre2	-1
Cnot6l	-1
Kifc2	-1
Gnai3	-1
Net1	1
Sema4b	1
Rhoa	1
Elovl6	1
Sigmar1	-1
Stat2	1
Ccdc111	1
Desi1	-1
Ahdc1	-1
Trnt1	-1
Map3k1	1
Il6st	1
Nagk	1
Eif2s1	-1
Heatr1	-1
Senp8	-1
Hmgcs1	-1
Nmral1	-1
Smo	-1
Ncbp2	1
Nodal	1
Ap4b1	1
Pltp	1
Capzb	-1
Poldip3	1
Gm20746	-1
Zscan10	1
Zfp942	1
Fam129a	1
Acacb	1
Polr2e	1
Slx1b	-1
Klhdc3	-1
Mkrn2	1
Fntb	1
Prpf38b	1
Gm8332	1
Gabpb2	1
Tial1	-1
Mlf1ip	1
Srxn1	-1
1700037H04Rik	-1
Tmem205	-1
Rnf31	1
Aplp2	-1
Kpna6	-1
Nop9	-1
Nsmce4a	1
Aco1	1
Lsm12	-1
Gemin2	1
Sri	-1
Clcn7	1
Gm10116	-1
Mrrf	-1
Atp11b	-1
Ap4m1	1
Rnf34	1
Zfp280d	1
Mastl	-1
Lemd3	1
Uba5	1
Toe1	1
Dopey1	1
Snrpg	-1
Prrc2b	1
Tacc1	1
Bnip3l	-1
Hspa8	1
Dph1	1
Stra13	1
Qrich1	1
Lrriq4	1
Pbx1	-1
Psmd14	-1
Hnrnpa0	-1
Zfyve26	1
Ezh1	1
Arhgap19	-1
Nubp2	1
Arhgef2	-1
Yae1d1	-1
Eef1d	-1
Tfap2c	1
Aen	1
Pan3	1
Camta1	-1
Copg2	1
Kansl1l	1
Ext1	-1
Taf9	-1
Rnf169	1
Cdk4	1
Gabpa	1
Cep128	1
Depdc1b	1
Chd4	-1
Fbxw17	-1
Rps10	1
Tmem129	1
Rhno1	-1
Tbc1d24	1
Tecpr2	1
Smarcad1	1
Nudt14	-1
Dph3	-1
Drg2	1
Cops4	-1
Gm13050	-1
Numb	1
Fancg	1
Grk6	-1
Mthfd2	-1
Prkaa2	1
Ndufa3	1
Rpl7l1	1
Hp1bp3	1
Osgepl1	-1
Gm8186	-1
Rpl5	-1
Park7	-1
Plod2	-1
Mrps27	-1
Pi4ka	1
Tprn	1
Exoc6	-1
Atp6ap1	1
Wdr4	1
Scrn3	1
Zfp617	1
Ndufa13	1
Aste1	1
Aggf1	-1
Mrpl34	-1
Zfp442	1
Smyd5	1
Zdhhc13	-1
2510002D24Rik	1
Elavl2	1
Nip7	1
Tdg	-1
Kif2a	-1
Tspan31	1
Otub1	1
Dhx37	1
Rps25-ps1	-1
Pts	-1
Med28	1
Usp31	-1
Troap	-1
Tceb3	1
Ssb	-1
Amotl1	-1
Samd4b	-1
Snx2	1
Ndufs4	1
D030056L22Rik	1
Ubxn8	1
Htatip2	1
Nme4	-1
Srpr	-1
Dusp7	-1
Cers6	1
Ppif	-1
Gm12191	1
Pygo2	1
Acot7	1
Spata7	1
Pprc1	1
Gpx7	-1
Bcap31	1
Dnajc4	1
Thnsl1	-1
Golph3	-1
Pold2	-1
Irak1	1
Faf1	-1
Atp13a1	1
Nt5c	-1
Sec61a1	-1
Slc19a1	-1
2410006H16Rik	1
Vps11	1
Rps8	1
Zfp84	1
3110001I22Rik	1
Exoc4	1
Agpat5	1
Apex1	1
Lyst	1
Ercc6l	1
Ero1l	-1
Vezf1	-1
Stt3b	-1
Tfe3	-1
Mettl5	-1
Rpl37	1
Rps10-ps2	1
Palm3	-1
Ift80	1
Haus7	1
Zfp53	1
Tipin	-1
Ncaph	1
Cox6b2	1
Ppp2r2d	-1
Fh1	1
Arxes2	-1
Krit1	1
Trim59	-1
Abtb1	1
Slc16a6	1
Tax1bp1	1
Prr3	1
Ncoa4	1
Ftsj2	1
Nit2	-1
Gpn3	1
Pccb	1
Mrps17	-1
2700062C07Rik	1
Frmd6	1
Rnf111	1
Sec31a	1
Gm12734	-1
Eif3k	1
Sh3glb2	1
Kbtbd8	1
Ganab	1
Tra2b	1
Ptpn2	1
Ccdc107	1
Slc25a37	-1
Gm9846	1
Arfgap1	1
Dcun1d1	-1
Bcl2l13	-1
Pdhb	1
Tsc22d2	-1
Ppcs	1
Mms19	1
Ccni	-1
Map7d2	-1
Ankrd17	1
Ggnbp2	1
Gna12	-1
Ubr2	1
Eri3	1
Gm11675	-1
Rif1	1
Ap1b1	1
Zfp846	1
Lage3	1
Cdk19	1
Uqcrc2	1
Rcan1	1
Ccdc115	1
Gm21411	1
Ighmbp2	1
Sike1	1
Ctnnd1	-1
Dhps	-1
Anxa7	1
Fbxl4	1
Rnaseh1	1
1110004F10Rik	1
Fis1	-1
Dgkd	-1
Cox8a	1
A430033K04Rik	1
1810009A15Rik	-1
Cdkal1	1
Sssca1	-1
Mnat1	-1
Atp5c1	1
Mob4	-1
Twsg1	-1
Sub1	-1
Mrpl37	1
Ap1g2	1
Nop58	1
Eps15l1	1
Gm6180	-1
Dalrd3	1
Slc44a1	1
Rab3ip	-1
Ankmy2	1
Pfdn2	-1
Hsph1	1
Mpp6	1
Tmem168	1
Cxxc5	1
Fam117b	1
Tsg101	-1
Strbp	-1
6030458C11Rik	1
Emc2	1
Tmco1	1
Anapc2	1
Zfp212	1
Zbtb24	1
Adpgk	1
Mtfmt	-1
Zfyve21	1
Pif1	1
Plk1	-1
Nrf1	1
Smarcd1	-1
Tcea3	-1
Ip6k1	1
Gna15	1
Gnl3	-1
Wasf1	-1
Srrm1	1
Tmed1	1
Higd1a	-1
Aasdhppt	-1
Gys1	1
Klf11	-1
Atrx	1
Asl	-1
Taok3	-1
Tiparp	-1
Capg	-1
Kif24	1
Tmem66	-1
Tubb4b	1
Cenpe	-1
Fdx1l	-1
Itch	1
Mis18bp1	1
Gtse1	1
Scarb1	1
Rbm15	-1
Clk4	1
Srsf6	1
Trh	-1
Srgap2	1
Gm7110	-1
Zfp955b	1
Mia3	-1
Arhgap32	-1
Kif18b	1
Aptx	-1
Wdfy3	1
2010107E04Rik	1
Arglu1	-1
Vmp1	-1
Ube2c	1
Gm11221	-1
Inpp5b	1
Mrp63	-1
Kdelr2	1
4930461G14Rik	1
Zfp81	1
Arl1	1
Fem1c	1
2210018M11Rik	1
Gng5	-1
Ttc17	1
Gm6548	-1
Tubgcp2	1
Rpl22	1
Rab11fip3	-1
Rhox5	1
Ranbp3	1
BC002059	1
Hmgn2	-1
Avpi1	1
Dpm2	1
Snx17	1
Tcea1	1
Lpgat1	-1
Psma2	-1
Cdca7l	-1
Hgs	1
Tcf7l2	1
Prdx3	1
Mrpl44	-1
Gatad2b	1
Acaca	-1
Stx18	1
Phf20	1
Pot1a	1
Dclre1c	1
Hmgn5	-1
Strn4	-1
Ctnnal1	-1
Gm2022	1
Ttc4	1
Rsl1d1	-1
Zfr	1
Dgat1	1
Patz1	1
Sc5d	-1
Tbrg1	1
Srsf5	1
Rufy2	1
Hn1l	1
Tmx3	1
Samhd1	-1
Gm13150	1
Elovl1	-1
Vps72	1
Ube4a	1
Utp14a	-1
Lman2l	1
Ube2t	-1
Zfp472	1
Rabgef1	1
Zbtb1	1
Pla2g1b	-1
Lyplal1	1
Rfx2	1
Slc31a2	1
Xbp1	-1
Trappc13	-1
Cnep1r1	1
Atp6v1e1	1
Rps6kb1	-1
Recql	1
Samm50	-1
Gab1	-1
Nmt1	1
E2f7	-1
Glt8d1	1
Pcmtd1	1
Tm7sf2	1
Strn3	-1
Ctbp2	-1
Carm1	-1
Vcl	-1
Vps53	1
Zfp91	1
Hgsnat	1
Sae1	-1
Cldn25	-1
Prdx5	-1
Gm7901	-1
Blvrb	1
Xpo1	1
Dguok	-1
Racgap1	1
Rspry1	1
Gm7984	-1
Tank	-1
Decr1	-1
Nav1	1
Hbp1	-1
Sestd1	-1
N4bp1	1
Mycbp2	-1
Eif2s3y	1
Mybl2	1
Rnf220	1
Iws1	1
Retsat	1
Pole	1
Lsm1	-1
Sgsm3	1
Pigk	1
Cd151	-1
Brd9	1
Ppfibp1	-1
N4bp2	1
Fbxo34	-1
Thyn1	-1
Wdr55	-1
1110019D14Rik	1
Fam175b	1
Tsc2	1
Gm14305	1
Jup	1
Bok	-1
AW549877	1
Eif3i	1
Pla2g6	-1
Zc3h14	-1
Sumo3	-1
Slc38a4	-1
Rps6ka5	1
Ndufaf5	1
Eif3l	1
Abhd2	1
Rnf20	1
Elf1	1
Slc25a39	1
Zmym1	1
Wdr82	1
Fbxo25	1
Eif3c	-1
Gm2a	1
Ankrd49	-1
Cln3	1
Zc3h13	1
Suv39h1	-1
Gyg	-1
Cdc25c	-1
Lin7c	-1
Rint1	1
Gm8394	-1
Garnl3	1
Nudcd2	-1
Als2	1
Ptpra	-1
Bnip1	-1
Ndufa7	-1
Nup214	1
Bckdk	-1
Txndc9	1
Clu	-1
Mettl9	-1
Mmp11	-1
Trmt5	-1
Amph	1
Gmps	-1
Csrnp2	1
Sirt3	1
Ooep	1
Usp6nl	-1
Nus1	-1
Cript	-1
Lrig2	1
Cnpy2	1
Kif13b	1
Casp2	1
Zswim4	-1
4933426M11Rik	1
Ppm1k	1
Zfp330	-1
Nek3	1
Chtop	1
Tmem18	1
Fanca	1
Pdcd5	-1
Vac14	1
Exoc7	1
Mob1b	1
Ccdc138	-1
Pex7	1
Crem	1
Cyp20a1	1
Idh3b	1
Trmt1	1
Anxa1	-1
Acox1	1
Gm8300	1
Ints4	1
Exog	-1
Arid3a	-1
Tmem180	-1
Chmp3	1
Fut9	1
Xpo5	1
Nrbp1	1
Shkbp1	-1
Ttc12	1
Gm9531	1
Slc31a1	1
Rplp1	1
Ndufb7	1
AC149090.1	1
Ptpn11	-1
Sdf2	-1
Tmem234	-1
Rnf19b	1
Tcn2	1
Orc6	1
Mipol1	-1
Gpr19	1
Tubgcp4	1
Mtpap	1
Gkap1	1
Dmap1	1
Psma5	-1
Hagh	1
Ccdc101	1
Fmnl2	-1
Zfp959	1
Gbas	-1
Hdac4	1
Snx6	1
Smg8	1
Rpa3	1
Nudt9	-1
Ppdpf	-1
Tfcp2	1
Zfp516	1
Adrbk1	-1
Pstk	-1
Urah	-1
Spg7	-1
Gm4879	-1
Spred2	-1
Mapkapk5	1
Carkd	1
Asb6	1
Snora74a	-1
Ckap2	1
Zfyve19	1
2210404O09Rik	1
Yars	1
Mbtps1	1
Tead2	1
Uros	1
Stat1	1
Zfp874a	1
Spcs1	1
Spen	1
Tspan3	-1
Cdkn2d	1
Dip2c	-1
Sulf1	1
Heatr6	1
Ikbkg	1
Mta3	-1
Hykk	1
Nkiras2	1
Terf2	1
Atp2c1	1
Mms22l	-1
Trappc6b	1
Eed	1
Smim3	-1
Zmiz1	1
Zfp606	1
Coq3	1
Smpd4	1
Dgcr2	-1
Rps15a	1
Cox5b	1
Rpp14	-1
Ahcyl2	1
Egr1	1
Txlna	1
Slc35b1	1
Trappc4	-1
Plekhf1	1
Rgs19	-1
Tex15	-1
Plxnb2	1
Man2a1	1
Rabl6	-1
Scap	-1
Ndufb4	1
Rps6ka2	1
Zdhhc17	1
Ogdh	1
Wdr61	-1
Rabif	1
Rsrc2	-1
Orc4	-1
H2afz	1
Fam120a	-1
Gm6169	1
Minpp1	-1
Sipa1l2	1
Zfhx3	-1
Ccnb1ip1	1
Ttc37	1
Ehmt2	-1
Tmem47	-1
Swap70	-1
Vwa9	1
Mvk	1
Nupl2	1
Acat2	1
Tpbg	1
Ddx42	1
Mpc2	1
Dad1	1
Ostc	-1
Pnpo	1
Tmbim1	1
Cwc27	1
Ak2	-1
Minos1	-1
Stam2	1
Magt1	1
Ammecr1l	1
Pola2	-1
Iars2	-1
Rnf26	-1
Ly6e	1
Zfp60	1
Mcc	1
Stx6	-1
Kif16b	1
Fndc3b	1
Ntan1	-1
Dnajb11	1
Tmsb10	1
Mettl21a	-1
Rbm12	-1
Chtf18	1
A230046K03Rik	1
Atf7ip2	1
Epb4.1l4a	1
Degs1	1
Cmas	-1
Alpk3	1
Rpl24	1
Btbd1	-1
Mrpl1	-1
Gm1840	-1
Uggt2	1
Dnph1	-1
Wdr43	-1
Ei24	1
Gm14277	-1
Herc1	-1
Trappc8	1
Cyb5r1	1
Hnrnpab	-1
Znf512b	-1
Zfp512	-1
Mars2	1
4632427E13Rik	1
Prune	1
Prkd3	1
Rpl37a	1
BC005624	1
Btbd10	1
Sdcbp	1
Tm9sf1	1
Fads1	1
Ssr1	1
Sh3d19	1
Fndc3a	1
Ndufa10	1
Dnajc11	1
Timm44	1
Pomk	1
Spdl1	1
Alg8	-1
Tert	1
Dnajc13	1
Gm6768	1
Bst2	-1
Socs4	-1
Bag4	-1
Gm6395	1
Mocs2	1
Pcna-ps2	1
Dars	1
